Asiakasnro;Y-tunnus;Toimijan nimi1;Toimijan nimi2;TKohdenro;Kohde;Lahiosoite;Postitmp;Toimintaluokka;Toimintaluokan nimi;Toimintatyyppi;Toimintatyypin nimi;Asiakaspaikkojen määrä;Toiminnan aloitus pvm;
11554;2399748-0;Smart Spis Oy;;17601;Ravintola Spis;Kasarmikatu 26;00130 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;22;01.08.2011;
4715;1538714-8;Sineu SA Oy;;6876;Ravintola Bistro Maria;Munkkiniemen puistotie 19;00330  HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;8;01.08.2011;
3619;2213944-1;Amigo Pizzeria; c/o Puistolan Juna-Asema;4916;Amigo Pizzeria;Puistolan asema, raide 4;00750 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;12;12.10.2006;
3652;2034228-6;Askur Oy;Pizza Hut;4976;Pizza Hut Munkkivuori;Raumantie 1;00350 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;-;01.08.2011;
4533;1097764-0;Puistolan Pizzapalvelu Oy;;6527;Puistolan Pizzapalvelu;Puistolantori 1;00760 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;12;14.09.1990;
4496;1902172-5;Pikku Ranska Oy;;6483;Ravintola Pikku Ranska;Ulvilantie 19;00350 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;112;01.08.2011;
4269;1815167-5;Lucky Industry Oy;;6102;Ravintola Frendi;Vanha viertotie 10;00350 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;100;01.08.2011;
3763;1931986-3;China Epoch Import Oy;;5120;Ravintola Mr. Lau;Vihdintie 3-5;00320 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;98;01.08.2011;
4872;1626114-1;Tmi Tran Xuan Quang;;7240;Ravintola Pelimanni;Puistolantori 4;00760 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;110;25.01.2001;
8153;2215922-3;Qinghai Oy;;11910;Ravintola Punainen Omena;Malminkaari 15;00700 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;38;01.10.1008;
4682;1447914-7;Scandic Hotels Oy;;35160;Scandic Meilahti, Bistro Meilahti;Tukholmankatu 2;00250 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;200;;
7046;1102759-1;Doray Oy;;10100;Ravintola Station;Pukinmäenaukio 2;00720 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;60;18.12.2008;
4616;2040558-2;Restel Liikenneasemat Oy;;10177;Shell Helmisimpukka Pukinmäki;Ratavallintie 1;00720 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;136;23.05.2008;
20570;2875147-1;Kenno Event Services Oy;;35156;Väinö Kallio;Hämeentie 11;00530 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;120;;
8456;2181003-7;Aschan Kahvilat Oy;;12381;Aschan Coffee & Deli Vallila;Teollisuuskatu 21;00510 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;54;15.08.2011;
4126;0645219-8;Kahvila-Ravintola Palema Oy;;5902;Kahvila-Ravintola Palema;Työpajankatu 2;00580 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;77;16.08.2011;
