Asiakasnro;Y-tunnus;Toimijan nimi1;Toimijan nimi2;TKohdenro;Kohde;Lahiosoite;Postitmp;Toimintaluokka;Toimintaluokan nimi;Toimintatyyppi;Toimintatyypin nimi;Asiakaspaikkojen määrä;Toiminnan aloitus pvm;
20803;1925435-0;Markkinointitoimisto Johdin Oy;;35603;Markkinointitoimisto Johdin Oy;Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
20761;2860113-1;Saporita Panificazione Oy;;35522;Piadineria Saporita;Unioninkatu 28;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;4;;
20745;2138744-3;Findak;;35486;Afrosene Food;Liikkuva elintarvikehuoneisto;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
15177;2538302-8;Restel Fast Food Oy;;35455;Burger King Oulunkylä;Isonpellontie 9;00720 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;136;;
20696;2892660-6;Daruma Oy;;35383;Myyntivaunu/Daruma - Okonomiyaki;Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
20689;2865020-8;Cose Buone Oy;;35363;Myyntivaunu/Cose Buone;Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;30.04.2018;
3868;0633739-2;Falafel Ky;;5250;Kebab Cafe Falafel;Caloniuksenkatu 2;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;16;26.01.2011;
4931;2042980-8;Venido Oy;;7318;McDonald's Ruoholahti;Itämerenkatu 14;00180 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;130;26.01.2011;
4643;1779240-3;Ruoholahden Burger Oy;;6770;Hesburger Ruoholahti;Porkkalankatu 9-11;00180 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;18;03.02.2011;
20633;1834789-7;(tsu)NAMI (Tulkkitoimisto Tam Le);;35285;Myyntivaunu/(tsu)Nami (Tulkkitoimisto Tam Le);Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;01.04.2018;
2819;0110858-2;Avecra Oy;;4996;Aseman Wursti;Helsingin rautatieasema;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;66;17.02.2011;
10247;2288048-3;Fenniaburger Oy;;15175;Hesburger Fennia-talo;Vuorikatu 14;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;52;17.02.2011;
4563;1767260-4;Rautatientorin Burger Oy;;6618;Hesburger Helsinki Rautatientori Kompassitori;Asematunneli;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;62;17.02.2011;
3721;1779273-7;Burgerstadion Oy;;5067;Hesburger Töölö;Mannerheimintie 19 A;00250 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;114;18.01.2007;
4683;1045949-9;Scandinavian Trading Group 2001 Oy Ab;;6827;Neste Oil Helsinki Oulunkylä;Siltavoudintie 19;00640 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;61;02.03.2011;
4066;1025545-3;Itäkeskuksen Burger Oy;;5838;Hesburger Itis Pasaasi;Itäkatu 7 E 18;00930 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;91;15.04.2011;
8123;1972487-7;Jadeite Oy;;12513;Ravintola Eerikin Kulma;Eerikinkatu 28;00180 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;100;02.05.2011;
11180;1542342-8;Pham Thi Phuong;;16878;Manskun Grilli;Mannerheimintie/Kalevankatu kulma;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;05.05.2011;
3720;2004014-9;Burgermakasiini Oy;;5066;Hesburger Kasarmitori;Kasarmikatu 19;00130 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;100;10.05.2011;
3719;2031967-6;Burger-In Oy;;5016;Hesburger Hartwall Areena, alakatsomo B (1.071);Areenankuja 1;00240 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;13.05.2011;
3719;2031967-6;Burger-In Oy;;12394;Hesburger Hartwall Areena, alakatsomo C (1.039);Areenankuja 1;00240 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;13.05.2011;
3719;2031967-6;Burger-In Oy;;5017;Hesburger Hartwall Areena, yläkatsomo;Areenankuja 1;00240 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;13.05.2011;
4201;1779247-0;Kontulan Burger Oy;;6000;Hesburger Kontula;Lirokuja 1;00940 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;56;25.05.2011;
4226;1795029-9;Käpylän Burger Oy;;6027;Hesburger Käpylä;Vähänkyröntie 2;00610 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;17;26.05.2011;
11140;1779259-3;Itäkeskuksen Burgerexpress Oy;;16800;Hesburger Myllypuro;Kivensilmänkuja 1;00920 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;87;30.05.2011;
4005;1058715-9;Helsingintien Burger Oy;;5620;Hesburger Kallio;Helsinginkatu 28;00530 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;86;31.05.2011;
3955;1795021-3;Hakaniemen Burger Oy;c/o Megavest;5542;Hesburger Hakaniemi;Hämeentie 2 A;00530 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;100;31.05.2011;
4376;1728515-3;Naamo T:mi;;6243;Metro Fast Food;Hämeentie 6 B L1;00530 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;24;31.05.2011;
4636;0215240-3;RR-Grillit Oy;;6762;Asian Fast Food & Grill;Simonkenttä;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;16;10.06.2011;
4073;0630300-2;J.P. Kioskit Oy;;5845;Pikkujaskan Grilli;Simonkatu;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;10.06.2011;
4073;0630300-2;J.P. Kioskit Oy;;5846;Ykkösjaskan grilli;Dagmarinkatu 1;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;10.06.2011;
4800;0603440-4;Tamoils Oy;;10178;Shell Herttoniemi;Laivalahdenkatu 1 A;00880 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;14.06.2011;
4800;0603440-4;Tamoils Oy;;10179;Shell  Myllypuro;Myllyrengintie 2;00920 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;17.06.2011;
9897;2345578-8;Tuan Trang;;14562;Kontulan Katukeittiö;Ostostie 4 H 3;00940 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;6;23.06.2011;
4647;1795033-6;Ruskeasuon Burger Oy;;6774;Hesburger Ruskeasuo;Mannerheimintie 105;00280 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;50;28.06.2011;
3862;0828115-0;Eurosnack Oy;;9275;Portin Grilli;Seilorinkatu 16;00980 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;30;01.07.2011;
4958;1058206-7;Vuosaaren Burgertalo Oy;;7356;Hesburger Vuosaari;Vuotie 45;00980 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;128;04.07.2011;
10931;2374032-7;Northern Lights Fastfood Oy;c/o Hurme;16353;McDonald's Kluuvi;Kluuvikatu 7;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;138;19.07.2011;
6899;1016227-3;Axedrain Oy;;9898;Grillikioski;Kirkonkyläntie 9;00700 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;23.01.1997;
4808;1715561-5;Tapulin Grilli;;7174;Tapulin Grilli;Ajurinaukio 1;00750 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;07.10.2005;
11092;2012424-6;Tietokujan Burger Oy;;16708;Hesburger Munkkiniemi;Tietokuja 7;00330 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;94;01.08.2011;
4414;2178583-9;Novados Oy;c/o Esa Soininen;6292;McDonald's Pitäjänmäki;Vanha viertotie 29;00380 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;50;01.08.2011;
11206;1665539-4;Michelle & Heidi;;16911;Susan's Grilli;Päivöläntie 40;00730 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;29.10.1992;
3719;2031967-6;Burger-In Oy;;15136;Hesburger Messukeskus;Messuaukio 1;00520 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;152;01.10.2010;
6918;1832424-9;Malmin Burger Oy;;9924;Hesburger Malmintori;Malmin kauppatie 18;00700 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;92;02.03.2000;
6919;1779289-2;Jätkäravintolat Oy;;17475;Hesburger Jätkäsaari;Tyynenmerenkatu 9;00220 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;80;01.09.2011;
2041;0116659-8;Lasten Päivän Säätiö/Linnanmäki;;6043;Linnanmäki Kulmagrilli;Tivolikuja 1;00510 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;40;05.09.2011;
2041;0116659-8;Lasten Päivän Säätiö/Linnanmäki;;6044;Linnanmäki Kioski Sirkus;Tivolikuja 1;00510 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;8;05.09.2011;
2041;0116659-8;Lasten Päivän Säätiö/Linnanmäki;;6049;Linnanmäki Rollen Herkku;Tivolikuja 1;00510 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;30;05.09.2011;
11199;1724003-5;Grillikioski NGOC;;16902;Oopperan Grilli;Mannerheimintie-Helsinginkatu;00250 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;15.09.2011;
12614;2455246-7;Burger Kamppi Oy;;19143;Hesburger Kamppi;Urho Kekkosen katu 1 A 1;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;120;13.03.2012;
8863;1948201-1;Profira Oy;;13080;McDonald's Herttoniemi;Laivalahdenkatu 1;00880 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;120;19.01.2010;
2973;1374452-7;HD Food;;4246;Kioski Kari Korpi;Mannerheimintie 3-5;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
8003;1617992-2;JPK-Invest Oy;;11645;Töölöntorin Grilli;Töölöntori;00260 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;30.08.1985;
7874;1797603-4;tmi Phan Thi Yen;;11408;Kurvin Grilli;Hämeentie-Vilhonvuorenkatu;00500 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;31.05.2004;
4859;2052135-6;Tmi M-Grilli;;7226;Grillikioski;Mellunmäenraitio;00970 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;15.08.2008;
11461;1466496-7;T:mi Do Van Hoa;;17435;Grillikioski Rautatientori;Rautatientori;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;01.01.1967;
4617;0658353-4;Restel Ravintolat Oy;;20333;Hartwall Areena/Nachos 1 krs;Areenankuja 1;00240 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
12200;2353478-5;Soyasoy Oy;;20540;SoiSoi kasvisravintola;Vaasankatu 9;00500 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;20;;
3992;1795035-2;Helsingin Keskus-Burger Oy;;5595;Hesburger Lanterna;Varikkotie 2;00880 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;86;15.12.2005;
9322;2321334-0;Tranthi;;13699;Hakaniemenrannan grilli;Mäkelänkatu 31;00550 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;01.04.2010;
20455;1584673-8;Multiwell;;34885;Myyntiteltta/Helzinger Street Food;Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;06.02.2018;
14384;2542211-1;SJK Ravintolat Oy;c/o Sirpa Kela;22475;McDonald's Helsinki Hakaniemi;Siltasaarenkatu 12;00530 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;109;;
4369;0949929-0;Mudin Oy;;23047;Foody;Mannerheimintie 20 A;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;50;;
20559;1851506-1;Faizy;;35133;Indian Express;Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
14858;1761705-8;Aleksanterinkadun Burger Oy;;23536;Hesburger Tennispalatsi;Fredrikinkatu 65;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;60;17.10.2013;
11484;1795028-0;Keravan Burger Oy;;23557;Hesburger Pukinmäki;Rapakivenkaari 3;00720 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;80;;
12590;2437458-4;1001 Flavours;c/o Pillon Vincent,;23675;Myyntiauto/1001 Flavours;Helsinki;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;10.07.2013;
2819;0110858-2;Avecra Oy;;24048;Hesburger Helsinki Rautatieasema Kioskihalli;Helsingin rautatieasema;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;50;;
15177;2538302-8;Restel Fast Food Oy;;24105;Burger King Mannerheimintie 12;Mannerheimintie 12;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;150;;
15177;2538302-8;Restel Fast Food Oy;;24195;Burger King Helsingin rautatieasema;Helsingin rautatieasema;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;200;17.02.2014;
15576;2610599-4;Grillikeisarit Oy;;24799;Kauppatorin grilli;Kauppatori 1;00160 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;12;;
10512;2369059-3;Sabor a México Oy;;25004;Tacobot;Helsinki;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;02.06.2014;
2041;0116659-8;Lasten Päivän Säätiö/Linnanmäki;;6045;Linnanmäki Lintsiburger;Tivolikuja 1;00510 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;275;;
8753;2188257-5;Prik Hom Oy;;25386;Myyntiteltta/ Prik Hom Oy;Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
14748;2471479-6;B-smokery Oy;;25391;Myyntivaunu/B-Smokery;Liikkuva elintarvikehuoneisto;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
15840;2528606-8;Maulito Food Oy;;25399;Myyntivaunu/Maulito;Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
15854;2279232-8;Azurizon Oy;;25423;Myyntivaunu/The Alexander's;Tukkitie 6 B;00760 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
12200;2353478-5;Soyasoy Oy;;24515;Myyntivaunu/Soi Soi;Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;01.04.2014;
15034;2581251-5;Caupona Oy;;25601;Rööperin Luukku;Uudenmaankatu 16;00120 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
4617;0658353-4;Restel Ravintolat Oy;;25808;Helsingin Jäähallin pikaruokamaailma;Nordenskiöldinkatu 11-13;00250 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
16120;0977576-9;Interbalans Oy;;25929;Langos;Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
15119;2546901-6;Tortilla House Finland Oy;c/o Visa Vorimo;26036;Tortilla House Roba;Iso Roobertinkatu 7;00120 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;6;;
13115;2473358-3;Tony's Food Group Oy;;26140;Myyntivaunu/Tony's Food Group Oy;Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
14384;2542211-1;SJK Ravintolat Oy;c/o Sirpa Kela;26264;McDonald's Töölö;Mannerheimintie 53;00250 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;1162;;
16385;2639255-9;Syriana Finland Oy;;26344;Myyntivaunu/Levant;liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
16385;2639255-9;Syriana Finland Oy;;26471;Levant Bulevardi;Bulevardi 15 A;00120 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;25;;
16480;2118835-6;Jawad Express tmi;;26520;Myyntivaunu/Jawad Express tmi;Liikkuva elintarvikehuoneisto;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
15177;2538302-8;Restel Fast Food Oy;;26624;Burger King Itis Helsinki;Itäkatu 1-5;00930 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;114;;
15177;2538302-8;Restel Fast Food Oy;;26686;Burger King Ruoholahti;Itämerenkatu 21;00180 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;194;;
4617;0658353-4;Restel Ravintolat Oy;;26701;Hartwall Areena/Grilli;Areenankuja 1;00240 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
4617;0658353-4;Restel Ravintolat Oy;;26702;Hartwall Areena/Fritti 1;Areenankuja 1;00240 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
4617;0658353-4;Restel Ravintolat Oy;;26704;Hartwall Areena/Makkara 3;Areenankuja 1;00240 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
4617;0658353-4;Restel Ravintolat Oy;;26705;Hartwall Areena/Coffee;Areenankuja 1;00240 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
4617;0658353-4;Restel Ravintolat Oy;;26706;Hartwall Areena/Fritti 3;Areenankuja 1;00240 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
16701;2339043-5;By Chef Sebastien;;26885;Myyntivaunu/Chez Sebastien;Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;6;01.04.2015;
16721;2587010-9;Friends & Burgers Oy Ab;;26914;Friends & Brgrs Aikatalo;Mikonkatu 8;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;70;;
16752;2675071-5;Kokki Tuomo;;26982;Myyntivaunu/Fisu & Ranet;Liikkuva elintarvikehuoneisto;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;11.03.2015;
14748;2471479-6;B-smokery Oy;;27036;B-Side Bar;Työpajankatu 2;00580 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;75;20.04.2015;
15177;2538302-8;Restel Fast Food Oy;;26092;Burger King Kamppi Helsinki;Urho Kekkosen katu 1;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;90;10.12.2014;
15177;2538302-8;Restel Fast Food Oy;;25882;Burger King Aleksanterinkatu Helsinki;Aleksanterinkatu 11;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;130;01.12.2014;
16878;2492391-8;R.A.O Finland Oy;;27224;Myyntiteltta/R.A.O Finland Oy;Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
14203;2540757-9;Street Gastro Oy;;27227;Myyntivaunu/Street Gastro Oy;Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
16504;2065114-2;MKTG Finland Oy;;27242;MKTG Finland Oy;Liikkuva elintarvikehuoneisto;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
4800;0603440-4;Tamoils Oy;;7163;Shell Itäkeskus;Visbynkatu 1;00930 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
10695;1065089-1;Ristikko Burger Oy;;27273;Hesburger Konala Drive-In;Ristipellontie 11;00390 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;106;;
13058;2484179-5;Waree Cafe Oy;;27350;Myyntiteltta/ Waree Cafe;Liikkuva elintarvikehuoneisto;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
2912;0357384-0;Esan Fisu Ky;;4185;Myyntivaunu/Esan fisu;Liikkuva elintarvikehuoneisto;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
17118;2690889-3;Chalupa Oy;;27651;myyntivaunu/Chalupa;Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
17282;2704766-9;Sofistreet Food;;27974;Myyntivaunu/Stadin Snägäri;Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;18.09.2015;
3719;2031967-6;Burger-In Oy;;28008;Hesburger Hartwall Areena (A-ravintola);Areenankuja 1;00240 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
17440;2392829-0;grilli kioski - ketterät kioski;;28233;Myyntivaunu/Katariina Kulta;Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;4;07.10.2015;
4073;0630300-2;J.P. Kioskit Oy;;28256;Pystygrilli;Rautatientori-Mikonkatu;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;01.05.2015;
3053;0683131-5;Kahvila Hakkis Oy;;28271;Liikkuva / Herskoi- grillivaunut;Malmarintie 39;01380 VANTAA;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;19.03.0012;
17627;2724378-2;Silacan T:mi;;28589;Eerikin Pippuri Forum, alakerta;Mannerheimintie 20;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;38;01.01.2016;
17134;2565928-2;Auditive Edu Oy;;27694;Cone's;Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;6;07.07.2015;
3477;1657160-9;Tapaste Oy;;29205;Myyntivaunu/Soppakeittiö/Cafe Bar Halkolaituri;Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;6;;
17912;2737904-9;Arepera avoin yhtiö;;29427;Myyntivaunu/Arepera avoin yhtiö;Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;19.02.2016;
17934;2728066-3;Meals on Wheels Oy;;29482;Myyntivaunu/Hodarifillari;Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;01.01.2016;
17947;2680138-3;Coffee Inn Oy;;29500;Coffee Inn Oy;Asema-aukio 1;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;01.04.2015;
